title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,categories,position,page,category,position_c,subcategory,position_s
"RDX Boxing Gloves for Training Muay Thai Genuine Cowhide Leather Infused Gel Gloves for Sparring, Kickboxing and Heavy Punching Bag, Fighting, Bag Mitts, Focus Mitts",RDX,3.9,23,37.0,True,0,2013-09-11,False,"['170,753 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '205 in Boxing Fight Gloves']",11,2,Sports & Outdoors,170753.0,Boxing Fight Gloves,205.0
"GoMax Boxing Gloves for Training Muay Thai Genuine Cowhide Leather Infused Gel Gloves for Sparring, Kickboxing and Heavy Punching Bag, Fighting, Bag Mitts, Focus Mitts",GO MAX,4.1,10,16.0,False,0,2020-08-19,False,"['88,731 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '207 in Boxing Training Gloves']",12,2,Sports & Outdoors,88731.0,Boxing Training Gloves,207.0
"DXD Boxing gloves for training combative sports Maya Hide Leather Sparring Mitts, Perfect gloves for boxing, kickboxing, punch bags, fighting and focus pads punching with matt black finish small medium large extra large",DxD,4.5,4,24.0,True,0,2020-08-14,False,"['196,503 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '414 in Boxing Training Gloves']",13,2,Sports & Outdoors,196503.0,Boxing Training Gloves,414.0
OhhGo Boxing Gloves 1Pair Training Boxing Fighting Muay Thai Sparring Punching Kickboxing Grappling Sandbag Gloves for Men Women,OhhGo,4.2,90,7.0,False,0,2019-09-29,False,"['46,307 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '128 in Boxing Training Gloves']",14,2,Sports & Outdoors,46307.0,Boxing Training Gloves,128.0
Islero Fitness EVO Kids Boxing Gloves Junior MMA Bag Mitts GEL Punching Bag Muay Thai Martial Arts Kick Boxing Sparring Training Fighting UFC 4OZ 6OZ 8OZ,Islero Fitness,4.6,43,14.0,False,0,2016-03-22,False,"['29,801 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '100 in Boxing Training Gloves']",15,2,Sports & Outdoors,29801.0,Boxing Training Gloves,100.0
"REX Stealth Boxing gloves for fighters, Training gloves, Heavy duty punching gloves | Matte Black Boxing Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",REX,4.9,12,17.0,False,0,2020-09-08,True,"['28,454 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '93 in Boxing Training Gloves']",16,2,Sports & Outdoors,28454.0,Boxing Training Gloves,93.0
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set in Ounce 16oz 14oz 12oz 10oz 8oz for Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | EAGLE FORCE CV-5Z™,Valour Strike,,0,30.0,True,0,2021-02-15,True,[],17,2,,,,
BLAST® Free Standing Adjustable Punching Opponent BOB With Stand - Indoor &amp; Outdoor Boxing Dummy Dummy Kick Boxing MMA Wrestling Realistic Partner Training,Blast,,0,339.0,False,0,2021-01-15,True,"['37,546 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '2 in Maize Boxing Bags']",18,2,Sports & Outdoors,37546.0,Maize Boxing Bags,2.0
XN8 Boxing Gloves for Training Punch bag-Lamina Hide Leather Mitts For Fighting-Kickboxing-Sparring-Muay Thai-Great for Double End Speed Ball &amp; Focus Pads Punching,Xn8 Sports,4.4,29,17.0,False,0,2015-08-09,False,"['27,006 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '43 in Boxing Fight Gloves', '86 in Boxing Training Gloves']",19,2,Sports & Outdoors,27006.0,Boxing Fight Gloves,43.0
VELO Boxing Matt Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Gloves for Punch Bag | Focus Pad | Arm kick Pad (Black Edition With Free Face Mask),VELO,4.6,36,19.0,False,0,2020-06-11,False,"['26,527 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '85 in Boxing Training Gloves']",20,2,Sports & Outdoors,26527.0,Boxing Training Gloves,85.0
"Boxing Gloves for Training 8oz 10oz 12oz 14oz 16oz, Muay Thai Punching Bag Mitts for Sparring, Martial Arts, Kickboxing, Fighting, MMA, Double End Speed Ball Workout, Dummy, Heavy Bag and Focus Pads",3X Professional Choice,4.6,176,22.0,True,0,2018-12-15,False,"['71,647 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '179 in Boxing Training Gloves']",21,2,Sports & Outdoors,71647.0,Boxing Training Gloves,179.0
XN8 MMA Gloves Boxing Training Sparring Fight Grappling Mitts With Open Palm- For Cage Fighting-Combat Sports- Punching bag-Muay Thai &amp; Kickboxing,Xn8 Sports,4.7,87,20.0,True,0,2020-07-17,False,"['11,929 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '9 in Training Gloves']",22,2,Sports & Outdoors,11929.0,Training Gloves,9.0
Starpro F55 Fusion Boxing Gloves | Premium Synthetic Cronos Leather| Black &amp; Red| For Professional Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise| Men &amp; Women|10oz 12oz 14oz 16oz,Starpro,4.9,11,36.0,True,0,2020-01-30,False,"['134,502 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '311 in Boxing Training Gloves']",23,2,Sports & Outdoors,134502.0,Boxing Training Gloves,311.0
"YING Boxing Gloves Leopard Print Adult PU Professional Sanda Fighting Taekwondo MMA Muay Thai Sandbag Gloves 10 oz Multicolor Optional,Black",YING,,0,30.0,False,0,,False,"['263,522 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '548 in Boxing Training Gloves']",24,2,Sports & Outdoors,263522.0,Boxing Training Gloves,548.0
XN8 Boxing Gloves for Training Punch bag-Lamina Hide Leather Mitts For Fighting- Sparring- Muay Thai- Kickboxing-Great for Double End Speed Ball and Focus Pads Punching,Xn8 Sports,4.6,194,18.0,True,6,2015-08-09,False,[],25,2,,,,
"RDX MMA Gloves for Martial Arts Grappling Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Good for Muay Thai, Kickboxing, Cage Fighting, Combat Sports and Punching bag",RDX,4.4,69,25.0,True,0,2020-01-21,False,"['9,248 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Training Gloves']",26,2,Sports & Outdoors,9248.0,Training Gloves,6.0
Starpro M33 Single Shell Boxing Gloves | Matte Synthetic Leather | Black &amp; Green | For Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise | Men &amp; Women | 8oz 10oz 12oz 14oz 16oz,Starpro,4.6,313,26.0,True,0,2018-11-07,False,"['76,841 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '187 in Boxing Training Gloves']",27,2,Sports & Outdoors,76841.0,Boxing Training Gloves,187.0
"Pro Boxing Gloves for Training Muay Thai Cowhide Leather Gloves 8oz 10oz 12oz 14oz 16oz for Sparring, MMA Focus Pads, UFC Fighting &amp; Kickboxing Good for Youth Punch Bag, Punching and Grappling Dummy",3X Professional Choice,4.5,11,26.0,True,0,2019-11-01,False,"['169,546 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '202 in Boxing Fight Gloves']",28,2,Sports & Outdoors,169546.0,Boxing Fight Gloves,202.0
"RDX Boxing Gloves Sparring and Muay Thai Maya Hide Leather, KARA Patent Pending Training Mitt for Kickboxing, Punch Bag, Focus Pads, MMA, Thai Pad, Double End Ball Punching Fight Gloves",RDX,4.9,93,25.0,False,0,2020-11-06,False,"['882 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Boxing Training Gloves']",29,2,Sports & Outdoors,882.0,Boxing Training Gloves,3.0
"Wesing Kids Boxing Gloves for Training &amp; Muay Thai Junior 6oz Mitts for Kickboxing, Sparring &amp; Fighting Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",W WESING,4.8,10,20.0,True,0,2019-05-19,False,"['133,123 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '306 in Boxing Training Gloves']",30,2,Sports & Outdoors,133123.0,Boxing Training Gloves,306.0
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set in Ounce 16oz 14oz 12oz 10oz 8oz for Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | Black Paw™,Valour Strike,4.6,180,29.0,True,10,2019-08-16,True,"['4,803 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '12 in Boxing Fight Gloves']",31,2,Sports & Outdoors,4803.0,Boxing Fight Gloves,12.0
VELO Boxing Gloves Microfiber Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Glove,VELO,4.5,37,19.0,False,0,2019-10-04,True,"['112,285 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '128 in Boxing Fight Gloves']",32,2,Sports & Outdoors,112285.0,Boxing Fight Gloves,128.0
"Green Hill MMA Glove IMMAF Approved,Training Gloves,Sparring Gloves For Sparring, MMA,Martial Arts, Kick Boxing, Grappling, Combat Fighting andThai Kick Boxing Training",Green Hill,5.0,1,32.0,False,0,2018-07-29,True,"['395,355 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '143 in Training Gloves']",33,2,Sports & Outdoors,395355.0,Training Gloves,143.0
"HM Boxing Gloves -Boxing Equipment with Leather Pro Gel for Muay Thai Kick Sparring Fighting &amp; Training MMA Gloves Men &amp; Boxing Gloves Women Silver and Black (Silver, XL)",MH,,0,,False,0,2021-02-15,False,[],34,2,,,,
"Leather Boxing Gloves, 8 oz Boxing Fighting Gloves, Kids Training Gloves, Muay Thai Gloves, Breathable Sparring Flame Gloves",LYEAA,,0,12.0,False,0,2021-01-22,False,"['99,404 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '229 in Boxing Training Gloves']",35,2,Sports & Outdoors,99404.0,Boxing Training Gloves,229.0
MAXSTRENTGH Boxing Gloves Sparring Gloves Training Gloves Punching Bag Mitts MMA kickboxing Fighting,MAXSTRENTGH,4.1,6,14.0,True,0,2018-03-27,False,"['119,676 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '273 in Boxing Training Gloves']",36,2,Sports & Outdoors,119676.0,Boxing Training Gloves,273.0
"Boxing Gloves by Athletics Gear – 10 to 16oz Maya Hide Leather Perfect Design and Fit with Velcro Closure System for MMA sparring, fighting, kickboxing, and punching",Generic,,0,12.0,False,0,2021-01-26,False,"['119,765 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '275 in Boxing Training Gloves']",37,2,Sports & Outdoors,119765.0,Boxing Training Gloves,275.0
"REX Boxing Wear Boxing Gloves Punching bag Gloves, Sparring Gloves| boxing gloves for boxers, training gloves mitts for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching, Blue",Rex Sports,,0,17.0,False,0,2020-10-26,False,"['217,398 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '238 in Boxing Fight Gloves']",38,2,Sports & Outdoors,217398.0,Boxing Fight Gloves,238.0
"Boxing Gloves for Martial Arts, Training and Muay Thai - Fighting Gloves for Kickboxing, MMA, Sparring, Punching -Mitts for Boxing Bag, Punch Bags, Boxing Pads, Focus Pads - Incl. Handy Carrying Bag",SUPER ACTIVE SPORTS MARTIAL,4.5,630,24.0,True,0,2020-09-06,False,"['92,359 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '213 in Boxing Training Gloves']",39,2,Sports & Outdoors,92359.0,Boxing Training Gloves,213.0
SOO Kids Boxing Gloves 2oz MMA Muay Thai Kickboxing Training &amp; Sparing Junior Fighting Gloves,SOO,,0,8.0,False,0,2020-11-14,False,"['187,124 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '208 in Boxing Fight Gloves']",40,2,Sports & Outdoors,187124.0,Boxing Fight Gloves,208.0
"RDX Lace 2 Loop Straps Converter for Professional Boxing Gloves, 51CM Elasticated Maya Hide Leather Adjustable Nylon Hook Strap Attachments for Fighting Kickboxing Muay Thai and Sparring Lace-Up Glove",RDX,,0,20.0,True,0,2020-12-22,False,"['55,944 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '220 in Boxing Gloves']",41,2,Sports & Outdoors,55944.0,Boxing Gloves,220.0
ONEX Boxing Gloves for kids/Junior Training Punching Sparring fighting glove Punch Bag glove Mitts Muay Thai Kickboxing MMA Martial Arts Workout 6oz,ONEX,4.5,63,12.0,False,0,2018-04-03,False,"['109,806 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '249 in Boxing Training Gloves']",42,2,Sports & Outdoors,109806.0,Boxing Training Gloves,249.0
EMRAH V-2.1 Boxing Gloves Matte Hide Boxing Training,EMRAH,4.6,457,23.0,True,3,2017-07-03,False,"['4,642 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '17 in Boxing Training Gloves']",43,2,Sports & Outdoors,4642.0,Boxing Training Gloves,17.0
"longeek Boxing Gloves for Kids 4Oz Punch Mitts Gloves Cartoon Sparring Training Gloves for Fighting, Kick Boxing PU red",longeek,,0,19.0,False,0,2020-11-14,False,"['248,660 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '519 in Boxing Training Gloves']",44,2,Sports & Outdoors,248660.0,Boxing Training Gloves,519.0
BOOM Prime MMA Gloves Maya Leather Punching Bag Grappling Kickboxing Sparring Martial Arts Cage Fighting UFC Training Boxing Punch Muay Thai Sports Mitts,BOOM Prime,4.6,3,9.0,False,0,2017-12-30,False,"['182,435 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '393 in Boxing Training Gloves']",45,2,Sports & Outdoors,182435.0,Boxing Training Gloves,393.0
Starpro Boxing Gloves Training Sparring - 10oz 12oz 14oz 16oz | Good for Mauy Thai Kickboxing Fighting Punching Fitness Exercise Heavy Duty Bag Mitts Workout | Synthetic Leather for Men &amp; Women,Starpro,4.4,34,19.0,False,0,2020-02-25,False,"['127,847 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '294 in Boxing Training Gloves']",46,2,Sports & Outdoors,127847.0,Boxing Training Gloves,294.0
Valour Strike Pro MMA Gloves Sparring | Grappling Muay Thai Mitts Combat Fighting Mixed Martial Arts Mitten Boxing Cage Kickboxing Glove,Valour Strike,4.3,76,19.0,False,19,2016-02-26,False,"['73,323 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '183 in Boxing Training Gloves']",47,2,Sports & Outdoors,73323.0,Boxing Training Gloves,183.0
"RDX Kids Boxing Gloves for Training, Muay Thai - Maya Hide Leather Junior 6oz Mitts for Sparring, Fighting, Kickboxing – Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",RDX,4.2,10,15.0,False,0,2016-08-29,False,"['256,811 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '534 in Boxing Training Gloves']",48,2,Sports & Outdoors,256811.0,Boxing Training Gloves,534.0
"Amber Boxing Gloves for Training Muay Thai Adult Pro Style Leather Mitts for Kickboxing, Sparring, Fighting Unisex MMA workout Punching Bag Glove",Amber Fight Gear,4.8,11,18.0,False,0,2018-08-04,False,"['198,740 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '419 in Boxing Training Gloves']",49,2,Sports & Outdoors,198740.0,Boxing Training Gloves,419.0
"RDX Lace 2 Loop Straps Converter for Professional Boxing Gloves, 50CM Elasticated Polyester Adjustable Maya Hide Leather Hook Strap Attachments for Fighting Kickboxing Muay Thai Sparring Lace-Up Glove",RDX,,0,10.0,False,0,2020-12-24,False,"['61,568 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '241 in Boxing Gloves']",50,2,Sports & Outdoors,61568.0,Boxing Gloves,241.0
"RDX Women Boxing Gloves for Training, Muay Thai – Flora Skin Ladies Mitts for Sparring, Fighting, Kickboxing - Good for Punch Bag, Focus Pads and Double End Ball Punching",RDX,4.6,31,36.0,True,6,2018-08-10,False,"['11,617 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Boxing Bag Gloves', '27 in Boxing Fight Gloves']",51,2,Sports & Outdoors,11617.0,Boxing Bag Gloves,3.0
"Senston Boxing Gloves 10oz/12oz for Adult Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",Senston,4.0,1,25.0,True,0,2020-12-03,False,"['77,615 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '18 in Boxing Bag Gloves']",52,2,Sports & Outdoors,77615.0,Boxing Bag Gloves,18.0
ONEX Adult Boxing Bag Gloves MMA Training Fighting Fitness Gloves Punching Mitt MMA Muay Thai Grappling Fight Mitts,ONEX,3.9,66,8.0,False,0,2015-08-06,False,"['26,200 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '8 in Boxing Bag Gloves']",53,2,Sports & Outdoors,26200.0,Boxing Bag Gloves,8.0
ITCMEE Boxing Gloves Sparring Boxing Training Gloves for Punch Bags and Focus Pads Muay Thai Fighting Kickboxing Training Mitts…,ITCMEE,3.5,10,15.0,False,5,2020-07-22,False,"['209,331 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '444 in Boxing Training Gloves']",54,2,Sports & Outdoors,209331.0,Boxing Training Gloves,444.0
Centitenk Kids Children Kickboxing Training Gloves Punching Sandbag Sports Fighting MMA Boxing Glove,Centitenk,,0,5.0,False,0,,False,"['176,013 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '373 in Boxing Training Gloves']",55,2,Sports & Outdoors,176013.0,Boxing Training Gloves,373.0
Fairylove Children Kids 4 oz Punching Bag Cartoon Training Boxing Gloves with Wrist Protection Wrap Kickboxing Sparring Fighting PU Leather Mitts Age 3-11 Years,Fairylove,5.0,2,10.0,False,0,2018-06-15,False,"['301,023 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '613 in Boxing Training Gloves']",56,2,Sports & Outdoors,301023.0,Boxing Training Gloves,613.0
"Xn8 Kids Boxing Gloves - Junior 4oz, 6oz, 8oz Punching Mitts for Sparring, Focus Pads, Fighting - Good for Youth Punch Bag - Kickboxing and Grappling Dummy",Xn8 Sports,4.8,10,13.0,False,0,2020-09-11,False,"['162,744 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '359 in Boxing Training Gloves']",57,2,Sports & Outdoors,162744.0,Boxing Training Gloves,359.0
"Lions Boxing Gloves MMA Punch Bag Training Mitts 6oz, 8oz, 10oz, 14oz, 16oz, Black, Pink, Red",Lions,4.5,1336,14.0,True,33,2015-10-05,True,"['477 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Boxing Training Gloves', '2 in Boxing Fight Gloves']",58,2,Sports & Outdoors,477.0,Boxing Training Gloves,1.0
"BodyRip STRIKER PRO Training Accessories | Leather Gloves, Target Pad, Kick or Punch Mitt, Head Guard Gear | Boxing, MMA, Muay Thai, Fitness, Exercise, FatLoss, Sparring, Kickboxing, Fighting, Workout",BodyRip,4.4,36,12.0,True,0,2017-12-20,True,"['96,324 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '49 in Martial Arts Headgear']",59,2,Sports & Outdoors,96324.0,Martial Arts Headgear,49.0
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Glove Ounce set to 16oz 14oz 12oz 10oz 8oz | Pro Boxing Training Gloves for Sparring in Kickboxing MMA Muay Thai or Boxercise Training,Valour Strike,4.7,430,29.0,True,36,2016-02-26,True,"['5,763 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '14 in Boxing Fight Gloves']",0,3,Sports & Outdoors,5763.0,Boxing Fight Gloves,14.0
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set in Ounce 16oz 14oz 12oz 10oz 8oz for Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | Black Paw™,Valour Strike,4.6,180,29.0,True,10,2019-08-16,True,"['4,803 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '12 in Boxing Fight Gloves']",1,3,Sports & Outdoors,4803.0,Boxing Fight Gloves,12.0
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set in Ounce 16oz 14oz 12oz 10oz 8oz for Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | EAGLE FORCE CV-5Z™,Valour Strike,,0,30.0,True,0,2021-02-15,True,[],2,3,,,,
AQF Boxing Gloves for Training &amp; MMA Muay Thai Punch Bag Sparring MMA Gloves for Kickboxing Fighting &amp; punching bag with Extra Layers of Padding,AQF,4.3,6,19.0,False,0,2020-10-15,True,"['13,527 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '50 in Boxing Training Gloves']",3,3,Sports & Outdoors,13527.0,Boxing Training Gloves,50.0
"Xn8 Kids Boxing Gloves - Junior 4oz, 6oz, 8oz Punching Mitts for Sparring, Focus Pads, Fighting - Good for Youth Punch Bag - Kickboxing and Grappling Dummy",Xn8 Sports,4.8,10,13.0,False,0,2020-09-11,False,"['162,744 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '359 in Boxing Training Gloves']",4,3,Sports & Outdoors,162744.0,Boxing Training Gloves,359.0
"longeek Boxing Gloves for Kids Punch Mitts Gloves Sparring Training Gloves for Fighting, Kick Boxing Grappling Dummy Double End Speed Ball &amp; Focus Pads BLUE",longeek,,0,18.0,False,0,2020-11-14,False,"['517,425 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1,064 in Boxing Training Gloves']",5,3,Sports & Outdoors,517425.0,Boxing Training Gloves,1064.0
Flexzion Half Finger Boxing Gloves - Grappling MMA Muay Thai UFC Sparring Punch Ultimate Mitts Sanda Fighting Training Sandbag Equipment Pair for Adult Men,Flexzion,4.3,205,15.0,False,0,2018-03-19,False,"['59,731 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '157 in Boxing Training Gloves']",6,3,Sports & Outdoors,59731.0,Boxing Training Gloves,157.0
"DXD MMA leather gloves X-Series for grappling hook Martial Arts Training, D. Cut Palm Maya Hide Leather Sparring Mitts, Perfect gloves for Cage Fighting, Combat Sports, Punching bag, Muay Thai &amp; Kickboxing",DxD,,0,19.0,False,0,,False,"['Amazon Bestsellers Rank: 489,819 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '#996 in Boxing Training Gloves']",7,3,Sports & Outdoors,489819.0,Boxing Training Gloves,996.0
"KIKFIT MMA Gloves for Sparring Martial Arts Open Palm Training Gel Padded Grip Grappling Mitts Great for - Cage Fighting, UFC, Boxing, Punching Bag, Muay Thai &amp; Kickboxing",KIKFIT,3.6,5,9.0,False,0,2016-05-28,False,"['174,312 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '68 in Training Gloves']",8,3,Sports & Outdoors,174312.0,Training Gloves,68.0
"RDX MMA Gloves for Grappling Martial Arts Training, Approved by SMMAF, Open Palm Cowhide Leather With Adjustable Wrist Straps, Gel Sparring Mitts for Muay Thai Combat Punching Kickboxing Cage Fighting",RDX,4.6,10,29.0,True,0,2017-10-02,False,"['140,122 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '165 in Boxing Fight Gloves']",9,3,Sports & Outdoors,140122.0,Boxing Fight Gloves,165.0
"RDX Boxing Gloves for Training, Muay Thai, Maya Hide Leather Mitts for Sparring, Fighting, Kickboxing, Good for Punch Bag, Focus Pads, Grappling Dummy and Double End Speed Ball Punching",RDX,4.7,271,25.0,False,13,2016-07-21,False,"['67,112 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '172 in Boxing Training Gloves']",10,3,Sports & Outdoors,67112.0,Boxing Training Gloves,172.0
Everlast  Pro Style Boxing Training Gloves,Everlast,4.4,1237,38.0,False,26,2014-12-18,False,"['20,061 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '70 in Boxing Training Gloves']",11,3,Sports & Outdoors,20061.0,Boxing Training Gloves,70.0
RDX Adult Training Boxing Gloves,RDX,4.0,32,37.0,True,0,2014-06-17,False,"['87,132 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '105 in Boxing Fight Gloves', '206 in Boxing Training Gloves']",12,3,Sports & Outdoors,87132.0,Boxing Fight Gloves,105.0
Valour Strike Pro MMA Sparring Gloves Black Grappling Muay Thai Training Mitts Combat Fighting Mixed Martial Arts Mitten Boxing Cage Kickboxing Glove,Valour Strike,4.5,74,23.0,True,7,2019-08-20,False,"['100,024 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '230 in Boxing Training Gloves']",13,3,Sports & Outdoors,100024.0,Boxing Training Gloves,230.0
Starpro Boxing Gloves Muay Thai - Good for Training Sparring Kickboxing Fighting Punching Fitness Exercise Heavy Duty Bag Mitts Workout | 8oz 10oz 12oz 14oz 16oz | Synthetic Leather for Men &amp; Women,Starpro,4.3,58,19.0,False,3,2020-01-15,False,"['246,742 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '512 in Boxing Training Gloves']",14,3,Sports & Outdoors,246742.0,Boxing Training Gloves,512.0
"LBYB Boxing Gloves,Professional Heavy Duty Punch Bag Mitts PU,with Adjustable Wrist Band for Sparring,Good for Muay Thai Fighting Kickboxing Men &amp; Women,Brown,10oz",LBYB,,0,41.0,False,0,,False,"['917,972 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1,842 in Boxing Training Gloves']",15,3,Sports & Outdoors,917972.0,Boxing Training Gloves,1842.0
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set Ounce 16oz 14oz 12oz 10oz 8oz For Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | Red Paw™,Valour Strike,4.6,189,29.0,True,7,2016-11-17,True,"['7,327 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '17 in Boxing Fight Gloves']",16,3,Sports & Outdoors,7327.0,Boxing Fight Gloves,17.0
"Boxing Gloves by Athletics Gear – 10 to 16oz Maya Hide Leather Perfect Design and Fit with Velcro Closure System for MMA sparring, fighting, kickboxing, and punching",Generic,,0,12.0,False,0,2021-01-26,True,"['119,765 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '275 in Boxing Training Gloves']",17,3,Sports & Outdoors,119765.0,Boxing Training Gloves,275.0
Starpro ‘Star’ Grappling Gloves | PU Leather | White &amp; Black| For Sparring and Grappling in Combat Training Muay Thai Martial Arts MMA Kickboxing Krav Maga Fitness and Exercise |Men &amp; Women,Starpro,4.2,97,12.0,False,3,2019-07-04,True,"['112,405 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '49 in Training Gloves']",18,3,Sports & Outdoors,112405.0,Training Gloves,49.0
New Amazing Rex Leather 4oz Junior Boxing Gloves MMA fighting GlovesFor Girls training,Sonia Traders,3.0,1,11.0,False,0,2017-03-11,False,"['292,693 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '596 in Boxing Training Gloves']",19,3,Sports & Outdoors,292693.0,Boxing Training Gloves,596.0
VELO Leather Boxing Gloves MMA Fighting Sparring Punch Bag Training Muay Thai Punching Bag Kickboxing Mitts Professional Exercise Heavy Duty For Men and Women Glove (Free Face Mask),VELO Boxing,5.0,1,29.0,True,0,2019-02-01,False,"['369,960 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '745 in Boxing Training Gloves']",20,3,Sports & Outdoors,369960.0,Boxing Training Gloves,745.0
"Fortis Pro Elite 12oz Leather Boxing Gloves – Perfect for Sparring, Training, Heavy Bag and Pad Work - For MMA, Muay Thai, Kickboxing, Fighting, Fitness and Combat Sports",Fortis,5.0,4,39.0,True,0,2017-06-02,False,"['385,127 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '777 in Boxing Training Gloves']",21,3,Sports & Outdoors,385127.0,Boxing Training Gloves,777.0
"Xnature Boxing Gloves For Training, Punching, Muay Thai, Sparring, Grappling, Kickboxing, Fighting, Focus Pads, Martial Arts",Xnature,4.6,199,13.0,False,0,2019-12-30,False,"['95,510 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '221 in Boxing Training Gloves']",22,3,Sports & Outdoors,95510.0,Boxing Training Gloves,221.0
